,fichier,Journée,equipe_dom,equipe_ext,Min,Sec,score_dom,score_ext,Action,Action_equipe,Joueur,Temps,Full_Action,Score_action_equipe,Temps_dans_video,file,Temps_dans_video2,label,Cut_time_Start,Cut_time_End
4429,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,1,21,0,0,Tir,EPINAL U18M,MORANDanthony,1.35,Tir MORANDanthony,0.0,1.35,MOV001.MOD,01:21:00,Tir MORANDanthony  |  MOV001.MOD  |  01:21:00,00:01:22,00:01:34
4435,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,2,5,1,0,But7m,EPINAL U18M,MORANDanthony,2.0833333333333335,But7m MORANDanthony,1.0,2.0833333333333335,MOV001.MOD,02:05:00,But7m MORANDanthony  |  MOV001.MOD  |  02:05:00,00:01:46,00:02:16
4477,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,11,31,4,2,But,EPINAL U18M,MORANDanthony,11.516666666666667,But MORANDanthony,4.0,11.516666666666667,MOV001.MOD,11:31:00,But MORANDanthony  |  MOV001.MOD  |  11:31:00,00:11:31,00:11:42
4485,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,12,35,5,2,But,EPINAL U18M,MORANDanthony,12.583333333333334,But MORANDanthony,5.0,12.583333333333334,MOV001.MOD,12:35:00,But MORANDanthony  |  MOV001.MOD  |  12:35:00,00:12:35,00:12:48
4507,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,16,43,7,3,But,EPINAL U18M,MORANDanthony,16.716666666666665,But MORANDanthony,7.0,4.049999999999999,MOV002.MOD,04:03:00,But MORANDanthony  |  MOV002.MOD  |  04:03:00,00:03:49,00:04:03
4549,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,25,4,10,7,2MN,EPINAL U18M,MORANDanthony,25.066666666666666,2MN MORANDanthony,10.0,12.4,MOV002.MOD,12:24:00,2MN MORANDanthony  |  MOV002.MOD  |  12:24:00,00:12:40,00:12:57
4434,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,33,13,12,12,Tir,EPINAL U18M,MORANDanthony,33.21666666666667,Tir MORANDanthony,12.0,3.2166666666666686,MOV004.MOD,03:13:00,Tir MORANDanthony  |  MOV004.MOD  |  03:13:00,00:03:03,00:03:10
4468,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,40,55,12,18,Tir,EPINAL U18M,MORANDanthony,40.916666666666664,Tir MORANDanthony,12.0,5.283333333333331,MOV005.MOD,05:17:00,Tir MORANDanthony  |  MOV005.MOD  |  05:17:00,00:05:22,00:05:38
4526,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,53,34,17,23,Tir,EPINAL U18M,MORANDanthony,53.56666666666667,Tir MORANDanthony,17.0,10.333333333333336,MOV006.MOD,10:20:00,Tir MORANDanthony  |  MOV006.MOD  |  10:20:00,00:11:22,00:11:29
4552,6_EPINAL U18M-METZ U18M.pdf,6,EPINAL U18M,METZ U18M,59,35,19,25,But,EPINAL U18M,MORANDanthony,59.583333333333336,But MORANDanthony,19.0,1.8500000000000014,MOV007.MOD,01:51:00,But MORANDanthony  |  MOV007.MOD  |  01:51:00,00:02:55,00:03:03
